pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI,pt4_X+-CI,pt4_Y+-CI,pt4_Z+-CI,pt5_X+-CI,pt5_Y+-CI,pt5_Z+-CI,pt6_X+-CI,pt6_Y+-CI,pt6_Z+-CI,pt7_X+-CI,pt7_Y+-CI,pt7_Z+-CI,pt8_X+-CI,pt8_Y+-CI,pt8_Z+-CI,pt9_X+-CI,pt9_Y+-CI,pt9_Z+-CI,pt10_X+-CI,pt10_Y+-CI,pt10_Z+-CI,pt11_X+-CI,pt11_Y+-CI,pt11_Z+-CI,pt12_X+-CI,pt12_Y+-CI,pt12_Z+-CI
0.021946,0.027305,0.020640,0.043424,0.060610,0.041330,0.015900,0.018737,0.013788,0.042034,0.047170,0.040684,0.053489,0.069376,0.051839,0.110759,0.113717,0.093533,0.025393,0.030029,0.024486,0.023782,0.031084,0.022930,0.031397,0.052984,0.031499,0.033545,0.053178,0.033647,0.058634,0.077244,0.056186,0.005823,0.007789,0.005568
0.028305,0.035156,0.024628,0.062087,0.111660,0.062623,0.101256,0.098866,0.083067,0.099811,0.113514,0.100387,0.175327,0.170682,0.162288,0.144075,0.161655,0.135098,0.095200,0.119961,0.083389,0.023764,0.038722,0.021245,0.021846,0.034287,0.020821,0.049819,0.078353,0.051930,0.043340,0.066662,0.041961,0.032039,0.053927,0.033725
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.046487,0.054023,0.039854,0.069952,0.078731,0.059212,0.059909,0.067830,0.056333,0.072529,0.084377,0.063337,0.021552,0.027835,0.021112,0.078093,0.080649,0.065226,0.017613,0.022372,0.015658,0.050260,0.089818,0.050522,0.023985,0.029453,0.022357,0.035621,0.042306,0.031589,0.051748,0.081309,0.051010,0.020437,0.021729,0.018306
0.033448,0.040159,0.032175,0.083221,0.115402,0.079810,0.084122,0.085587,0.074074,0.045852,0.063724,0.043650,0.038293,0.048867,0.036797,0.037766,0.047998,0.034260,0.049926,0.065458,0.048694,0.028821,0.034506,0.023446,0.034760,0.037977,0.030514,0.044031,0.051828,0.042357,0.040509,0.053530,0.038598,0.022111,0.030342,0.019708
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
