"","leg","start","end","duration","amplitude.male","velocity.male","visual.angle","visual.velocity","distance","id","treat"
"1","left",1,11,0.416666666666667,13.7113793583981,32.9073104601554,1.10075905386693,2.64182172928063,41.5522405218752,"1854","0x"
"2","left",21,38,0.708333333333333,-3.74723738749311,5.29021748822557,2.11564605212739,2.98679442653278,41.5842770486655,"1854","0x"
"3","left",40,56,0.666666666666667,11.9835837867632,17.9753756801447,1.76901969833963,2.65352954750945,41.4925354287544,"1854","0x"
"4","left",70,84,0.583333333333333,-17.8468754565316,30.5946436397684,2.2545686638808,3.86497485236708,41.4987230064803,"1854","0x"
"5","left",90,102,0.5,7.41490106811523,14.8298021362305,1.37143610004593,2.74287220009187,41.5882999054303,"1854","0x"
"6","right",1,11,0.416666666666667,10.548709897651,25.3169037543624,0.948146796496815,2.27555231159235,41.5522405218752,"1854","0x"
"7","right",21,38,0.708333333333333,-9.91508383193851,13.9977654097955,0.892792405766825,1.2604128081414,41.5842770486655,"1854","0x"
"8","right",40,56,0.666666666666667,15.5340217130574,23.3010325695861,1.91372675571693,2.8705901335754,41.4925354287544,"1854","0x"
"9","right",70,84,0.583333333333333,5.71630397245277,9.79937823849046,0.727365051847741,1.24691151745327,41.4987230064803,"1854","0x"
"10","right",90,102,0.5,7.67808004177847,15.3561600835569,1.28304647349914,2.56609294699829,41.5882999054303,"1854","0x"
"11","left",26,110,0.7,-29.8388683470027,42.6269547814324,3.8653385008879,5.52191214412557,25.064697608791,"1854","1.5x"
"12","left",167,241,0.616666666666667,43.4787963761213,70.5061562856021,6.08831630301307,9.8729453562374,25.1876461239747,"1854","1.5x"
"13","left",258,309,0.425,-35.0155389972019,82.3895035228281,4.97965506890671,11.7168354562511,25.1595519381092,"1854","1.5x"
"14","left",324,344,0.166666666666667,21.2605202502577,127.563121501546,3.07866699594285,18.4720019756571,25.0296418883854,"1854","1.5x"
"15","left",391,430,0.325,-17.7092458204566,54.4899871398665,2.89632146960609,8.91175836801873,25.2408423517453,"1854","1.5x"
