pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI,pt4_X+-CI,pt4_Y+-CI,pt4_Z+-CI,pt5_X+-CI,pt5_Y+-CI,pt5_Z+-CI,pt6_X+-CI,pt6_Y+-CI,pt6_Z+-CI,pt7_X+-CI,pt7_Y+-CI,pt7_Z+-CI,pt8_X+-CI,pt8_Y+-CI,pt8_Z+-CI,pt9_X+-CI,pt9_Y+-CI,pt9_Z+-CI,pt10_X+-CI,pt10_Y+-CI,pt10_Z+-CI,pt11_X+-CI,pt11_Y+-CI,pt11_Z+-CI,pt12_X+-CI,pt12_Y+-CI,pt12_Z+-CI
0.088044,0.070399,0.056592,0.223960,0.124942,0.118770,0.272466,0.326645,0.254448,0.098333,0.066772,0.067460,0.089725,0.065133,0.061474,0.065874,0.054225,0.048923,0.194980,0.124709,0.128391,0.208136,0.140718,0.137824,0.099055,0.070264,0.067235,0.070926,0.052638,0.050548,0.034821,0.027508,0.026778,0.080915,0.064997,0.063755
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.096713,0.068242,0.063827,0.220308,0.119994,0.101838,0.185856,0.206485,0.166519,0.085363,0.060869,0.055004,0.079824,0.054373,0.049600,0.030097,0.022461,0.021815,0.078457,0.056789,0.054908,0.120659,0.084939,0.076816,0.130481,0.095665,0.094264,0.116067,0.093134,0.083974,0.009857,0.007773,0.007133,0.080307,0.073444,0.060578
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.086655,0.062854,0.059836,0.171997,0.103650,0.087304,0.264979,0.272863,0.231221,0.101435,0.079367,0.067350,0.055475,0.038959,0.038004,0.031474,0.023899,0.020098,0.081929,0.061701,0.064651,0.096272,0.068028,0.065471,0.072925,0.056189,0.051214,0.040828,0.029847,0.028668,0.045252,0.033867,0.034619,0.123098,0.107479,0.090141
0.093933,0.073619,0.070651,0.167005,0.098948,0.088722,0.249432,0.250568,0.221897,0.104459,0.070455,0.077300,0.069160,0.054206,0.053383,0.067036,0.048541,0.048785,0.133565,0.091104,0.094133,0.101874,0.075335,0.066831,0.059095,0.041957,0.042853,0.028901,0.022374,0.020436,0.007016,0.005760,0.005443,0.044392,0.035739,0.029918
0.087603,0.068931,0.070279,0.287747,0.166100,0.162305,0.272842,0.322542,0.255858,0.200580,0.200568,0.178612,0.124794,0.087726,0.086219,0.108265,0.085543,0.069196,0.209013,0.135232,0.126861,0.100916,0.077123,0.076667,0.060779,0.040278,0.045954,0.029487,0.021391,0.021008,0.050967,0.039555,0.037199,0.095280,0.113196,0.082660
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
