pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI,pt4_X+-CI,pt4_Y+-CI,pt4_Z+-CI,pt5_X+-CI,pt5_Y+-CI,pt5_Z+-CI,pt6_X+-CI,pt6_Y+-CI,pt6_Z+-CI,pt7_X+-CI,pt7_Y+-CI,pt7_Z+-CI,pt8_X+-CI,pt8_Y+-CI,pt8_Z+-CI,pt9_X+-CI,pt9_Y+-CI,pt9_Z+-CI,pt10_X+-CI,pt10_Y+-CI,pt10_Z+-CI,pt11_X+-CI,pt11_Y+-CI,pt11_Z+-CI,pt12_X+-CI,pt12_Y+-CI,pt12_Z+-CI
0.082522,0.056540,0.052124,0.351180,0.208799,0.200842,0.066106,0.070623,0.063828,0.090563,0.115546,0.098704,0.019187,0.024758,0.020952,0.075258,0.108519,0.085053,0.112543,0.079773,0.075798,0.122304,0.074950,0.075756,0.135750,0.083474,0.081378,0.066952,0.050509,0.046957,0.070667,0.059214,0.052360,0.167117,0.120695,0.111761
0.065322,0.048582,0.041062,0.393095,0.219246,0.211696,0.111417,0.121707,0.103003,0.178359,0.168594,0.145874,0.143607,0.134225,0.121030,0.146208,0.155028,0.122645,0.065874,0.045338,0.047023,0.071161,0.048320,0.043885,0.094253,0.064916,0.062984,0.151567,0.113563,0.100224,0.085221,0.068256,0.060724,0.158476,0.123659,0.116710
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.042378,0.031468,0.029391,0.312830,0.188356,0.175978,0.112232,0.115295,0.090948,0.121354,0.124689,0.109633,0.105566,0.122056,0.097018,0.123451,0.133919,0.107898,0.077263,0.049811,0.044007,0.156245,0.090593,0.082737,0.160090,0.091711,0.090025,0.166943,0.099748,0.087814,0.085953,0.063201,0.062535,0.140490,0.108291,0.086404
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
